日期\时间,0:10,0:20,0:30,0:40,0:50,1:00,1:10,1:20,1:30,1:40,1:50,2:00,2:10,2:20,2:30,2:40,2:50,3:00,3:10,3:20,3:30,3:40,3:50,4:00,4:10,4:20,4:30,4:40,4:50,5:00,5:10,5:20,5:30,5:40,5:50,6:00,6:10,6:20,6:30,6:40,6:50,7:00,7:10,7:20,7:30,7:40,7:50,8:00,8:10,8:20,8:30,8:40,8:50,9:00,9:10,9:20,9:30,9:40,9:50,10:00,10:10,10:20,10:30,10:40,10:50,11:00,11:10,11:20,11:30,11:40,11:50,12:00,12:10,12:20,12:30,12:40,12:50,13:00,13:10,13:20,13:30,13:40,13:50,14:00,14:10,14:20,14:30,14:40,14:50,15:00,15:10,15:20,15:30,15:40,15:50,16:00,16:10,16:20,16:30,16:40,16:50,17:00,17:10,17:20,17:30,17:40,17:50,18:00,18:10,18:20,18:30,18:40,18:50,19:00,19:10,19:20,19:30,19:40,19:50,20:00,20:10,20:20,20:30,20:40,20:50,21:00,21:10,21:20,21:30,21:40,21:50,22:00,22:10,22:20,22:30,22:40,22:50,23:00,23:10,23:20,23:30,23:40,23:50,0:00+1
2025/1/1,3529.7296,3609.5287,3726.5600,3510.6311,3502.5625,3787.0100,3900.3205,3916.8376,3817.2800,3533.0136,3694.6613,4064.7300,3810.6710,3844.9495,4234.6200,4109.9755,3996.8945,4102.1900,4086.0577,4133.7626,4179.1800,3953.3711,3910.7496,4099.3100,4123.8623,4169.0068,4260.2400,4217.2222,4261.8570,4341.9000,4208.2208,4302.1233,4456.5900,4148.6370,4498.1333,5369.3800,5440.8991,5316.8930,5399.8200,5447.4007,5444.4010,5433.6300,5449.2818,5510.0042,5476.0000,5329.4215,6084.1163,7316.0000,7469.4947,7225.6910,7216.1300,7361.7004,7275.5130,7077.2900,7221.8762,7229.5513,7099.3300,7297.1521,7313.1756,7099.4600,7125.5214,7096.3104,6986.1700,7098.9702,7193.9930,7135.1800,7042.9470,7069.1675,7129.1700,6971.0393,6648.4937,6471.2900,6681.1855,6585.2714,6283.9700,6547.9322,6747.6789,6682.3600,6790.9628,6916.0165,6834.7800,6546.5252,6539.8730,6773.9700,6736.8117,6623.3813,6548.9800,6398.5627,6196.5854,6154.6900,6459.5818,6622.8857,6493.6100,6375.0516,6354.1130,6404.2500,6444.9720,6399.4586,6292.1500,6236.9153,6299.9437,6389.0600,6325.1833,6169.4734,6191.9900,6464.5067,5764.0309,4529.4500,4490.5328,4644.0206,4469.2100,4470.4650,4510.8756,4486.1700,4471.7293,4439.8235,4387.1900,4347.9765,4300.6345,4315.9900,4483.2744,4551.7060,4499.8000,4535.0935,4528.9160,4483.5100,4548.2302,4595.6841,4620.9000,4653.7148,4131.9845,3363.0000,3305.7588,3470.9320,3521.3700,3561.5279,3386.0680,3289.9900,3774.2552,3883.6200,3525.1400,3553.5909,3697.1141,3696.7000
2025/1/2,3622.5509,3622.7611,3708.2300,3750.5226,3684.9038,3644.1400,3809.2980,3855.1226,3783.7800,3907.3849,3968.2398,3886.7700,3865.3901,3931.6861,4055.9800,4164.9820,4067.4326,3919.4400,4068.3230,4140.4792,4061.1200,4138.7041,4283.3011,4330.9800,4225.1585,4201.9890,4273.9000,4219.0352,4069.3885,4030.9500,4262.9553,4330.5086,4149.1300,4130.3346,4641.7286,5411.5900,5738.8011,5695.3891,5537.6600,5461.5746,5483.6005,5540.8800,5575.3367,5669.9633,5566.6600,5081.9454,5737.5547,7205.7500,7519.6199,7253.8265,7156.6200,7351.5694,7430.2399,7295.2500,7207.6569,7113.8825,7023.1200,7047.9517,7129.0191,7151.1000,7053.4551,7028.7906,7115.5400,7158.8016,7104.1648,6988.4500,6905.2356,6918.8526,7053.4500,7224.2372,7061.4737,6627.8800,6385.5315,6379.3415,6517.0800,6677.4158,6740.2590,6776.2900,6923.5069,6851.0971,6622.1500,6654.8176,6745.2794,6768.7300,6785.5204,6651.4681,6519.7300,6699.3894,6745.2289,6621.1400,6686.5383,6510.3340,6220.7900,6406.2703,6474.5982,6290.2400,6307.3310,6312.2172,6239.2800,6276.4877,6335.5438,6317.7500,6215.7285,6137.0958,6185.2300,6275.9932,5749.3845,4825.2900,4462.7208,4487.5960,4531.3500,4433.2667,4446.1905,4522.6900,4365.4081,4272.9727,4365.7400,4459.5799,4483.9677,4509.2600,4622.8615,4560.6006,4323.4600,4224.7758,4398.0305,4648.2700,4633.6000,4538.5738,4588.8700,4752.9518,4388.3683,3695.4700,3549.5286,3568.6566,3527.2300,3577.6994,3478.2440,3323.6100,3478.4063,3640.9395,3700.9600,3769.7290,3428.2020,2919.1200
2025/1/3,2954.3509,2960.6102,2756.5100,2725.0654,2639.7341,2583.7600,2902.6811,3131.0510,3056.8200,2923.5412,2940.6553,3047.2100,3000.6237,2860.5275,2800.1000,2953.2923,3161.0061,3294.0000,3346.7350,3390.5777,3426.6200,3375.8805,3204.2096,3155.1400,3470.3443,3371.4266,2945.5800,3074.9809,3342.8630,3341.5500,3130.4364,3224.3627,3607.8500,3733.6991,3503.3718,3256.7800,3421.2500,3519.6603,3365.9000,3274.0860,3462.1699,3787.2100,3895.0622,3904.9573,3913.9300,3897.2707,3918.3208,4025.5800,4146.3263,3906.1017,3524.2200,3689.6460,4284.7343,4753.5400,4591.2578,4391.5782,4496.2400,4673.3336,4538.2138,4253.4900,4355.1198,4561.5437,4553.0100,4289.7362,4146.1721,4247.7200,4376.5197,4356.2528,4292.2500,4431.7662,4528.7137,4406.4200,4161.4411,4175.5384,4332.0300,4156.8051,3998.4468,4008.7500,4000.4293,4052.8564,4047.6900,3788.9507,3812.7819,4095.0700,4064.0778,3932.6141,3892.0100,3900.8667,3890.6631,3800.7400,3650.1373,3708.4101,3860.9300,3736.1478,3699.9877,3817.2000,3751.9521,3533.1584,3406.2600,3544.1616,3385.5316,2996.5400,2994.4949,2976.8050,2847.2200,2930.8792,2970.7432,2859.0300,2767.8666,2778.7108,2809.8800,2711.9698,2609.4796,2608.9200,2689.2879,2685.1189,2707.6000,2988.2372,3022.4875,2798.0600,2801.3410,2810.0049,2766.2000,2865.7629,2932.1172,2903.7000,2876.0861,2739.4924,2646.7600,2854.3033,2801.1854,2481.4400,2453.7519,2496.4764,2462.0600,2454.9477,2478.4100,2531.4400,2618.7584,2674.9089,2688.9400,2712.3789,2755.1168,2763.5400
2025/1/4,2696.7943,2758.1877,2846.8000,2662.8402,2560.2275,2737.7100,3010.7018,2977.7182,2777.2100,2904.2621,2944.0406,2839.4000,2961.5683,3044.5086,3017.5200,3088.4171,3140.8968,3120.0600,3111.9018,3174.4757,3222.8300,3140.7512,3203.5176,3305.6200,3082.9711,3029.6183,3220.0500,3240.2096,3268.5206,3392.4200,3464.9422,3393.7832,3279.1600,3313.0890,3356.2249,3321.9000,3281.5930,3376.2584,3460.2700,3291.7135,3419.9099,3836.2200,3951.1717,3880.8120,3754.8500,3595.1141,3657.7613,3841.0900,3781.6989,3727.8564,3748.3700,3718.0706,4050.9075,4551.3900,4547.9478,4435.5222,4409.2600,4296.3622,4336.0833,4540.8500,4626.1070,4473.5390,4327.1900,4517.6361,4485.4969,4182.1800,4147.4422,4325.6893,4465.7400,4390.8655,4359.7887,4354.4300,4136.5048,4106.5153,4265.7000,4196.0578,4049.2294,3984.2100,4041.6607,4331.9607,4485.5600,3988.5685,3704.7485,3923.4600,4088.3897,3973.5363,3805.4200,3952.6850,3941.4367,3722.7000,3725.3858,3744.2329,3688.5900,3719.3955,3874.1808,3950.8400,3716.7753,3616.3037,3720.5700,3626.4100,3226.8567,2831.4500,2875.1922,2966.3344,2895.9900,2826.1980,2826.1038,2855.2100,2854.7653,3003.3345,3128.8500,2852.5218,2595.6755,2609.9600,2771.3445,2948.2664,2972.8200,2762.3933,2709.8830,2873.5400,2935.6796,2890.2486,2804.7200,2765.9763,2958.1633,3183.5600,3043.4519,2941.1204,3048.6800,3089.3913,2762.2668,2371.1700,2519.0914,2613.8506,2504.0800,2587.9952,2506.0837,2360.9500,2656.3913,2882.5455,2736.8900,2499.9476,2866.8742,3595.5000
2025/1/5,3749.1135,3734.5244,3812.6600,3801.6230,3722.8105,3699.5500,3827.0906,3912.9068,3857.9300,3743.3376,3705.3998,3840.4700,4111.1520,4173.4700,4084.0000,4206.0662,4239.7353,4083.9200,3978.0678,4035.3939,4133.7900,4072.3103,4117.2544,4285.1600,4282.9866,4066.6452,3935.6900,4248.7670,4509.0492,4402.5300,4086.7682,3984.5987,4079.3700,4097.6845,4692.7683,5571.1100,5654.4759,5441.9211,5397.6200,5477.7916,5397.1683,5303.7300,5583.5442,5650.0131,5351.0000,5277.6062,6196.9922,7436.3200,7474.9983,7261.0405,7320.0100,7260.5156,7234.7778,7272.3400,7214.1844,7215.2231,7226.1200,7042.5144,6966.8397,7069.5700,7122.3726,7145.5435,7149.6600,7079.8010,6930.6048,6895.2800,7172.3968,7265.2666,7062.7800,6923.2020,6839.5336,6774.6800,6720.8698,6529.9733,6288.9100,6288.4849,6544.1343,6831.2100,6858.3943,6739.4191,6660.7800,6728.4133,6849.0853,6918.2500,6866.3355,6625.8829,6466.4000,6725.6005,6709.0562,6426.6800,6548.4320,6553.2269,6364.1600,6463.2558,6571.3423,6513.6800,6398.4571,6257.6269,6193.1000,6308.4609,6357.8788,6309.1000,6342.8264,6300.3441,6311.1600,6521.7748,5729.6017,4404.2500,4338.8485,4607.6467,4526.1900,4360.3180,4390.1578,4563.4000,4576.1663,4427.0555,4334.3500,4505.0479,4556.4254,4351.6500,4160.6277,4279.4441,4521.5300,4432.6636,4404.8742,4533.4000,4513.5242,4490.1854,4606.8600,4732.2031,4167.1460,3288.5300,3237.2905,3378.3357,3386.0300,3539.0148,3492.3971,3344.0100,3552.7439,3624.3427,3519.7000,3689.4184,3763.9773,3649.5100
2025/1/6,3644.3668,3667.3643,3653.3600,3658.8470,3753.8161,3831.1000,3742.8620,3867.3399,4073.2100,3860.7560,3797.2685,4004.4500,4037.4600,4051.3579,4096.1800,4015.9457,3883.7900,3868.7700,4075.3270,4218.4464,4188.9000,4140.3836,4178.0178,4252.9700,4243.1978,4278.5712,4315.3700,4174.8385,4081.6915,4164.8500,4320.0376,4318.4262,4155.3400,4122.0605,4646.0249,5383.5000,5503.4040,5417.1250,5449.4100,5509.7866,5476.4267,5342.8300,5230.2796,5280.2131,5270.1700,5011.7110,5827.5655,7250.8600,7388.8238,7275.0152,7428.5300,7306.3966,7181.3297,7187.4200,7162.0091,7174.1353,7188.3900,7083.0799,7044.4106,7061.6800,6971.4648,7078.0798,7254.9100,7069.6909,7040.0080,7218.7800,7123.4645,6954.6354,6914.6500,6973.3315,6888.7502,6624.4300,6393.9803,6372.3105,6420.4400,6270.7840,6323.1806,6607.4100,6736.1467,6805.2961,6827.0900,6688.1859,6602.9360,6604.2000,6546.8999,6620.7574,6729.8800,6559.4615,6397.4923,6448.2000,6600.7085,6466.0213,6227.2200,6416.9364,6445.7257,6248.0200,6350.4995,6421.7448,6329.5400,6303.9238,6334.1013,6361.0000,6337.9893,6211.8391,6153.4000,6282.3997,5672.8597,4555.2700,4190.2760,4291.3488,4481.6200,4652.7090,4540.3689,4257.3400,4219.5344,4376.3172,4517.0900,4488.7631,4509.8562,4589.6500,4509.2665,4348.1004,4278.0600,4410.8707,4564.9603,4619.8900,4580.7427,4427.1767,4380.3100,4629.1303,4293.6924,3515.5900,3358.1757,3425.7624,3398.0500,3381.1046,3373.3843,3438.8600,3647.7613,3719.8946,3608.8800,3521.8802,3402.6697,3407.8100
2025/1/7,3741.0110,3710.9838,3426.0400,3679.1188,3924.5819,3924.1500,3966.4301,3851.1738,3629.3400,3633.0292,3796.9509,3962.4200,4024.1701,4046.7708,4062.1800,4032.9777,3947.2747,3873.3000,3896.8687,3891.1035,3871.0300,3968.7109,4012.6814,4022.7000,4173.3840,4198.1928,4091.2700,4137.0200,4285.4128,4404.4700,4388.4703,4220.2728,4055.5900,4179.3732,4764.4546,5362.7700,5300.1720,5322.0543,5603.3200,5580.5931,5454.7219,5396.9200,5380.2708,5493.9268,5514.2500,5260.9650,6012.6374,7323.5400,7373.5665,7165.9026,7287.3300,7285.1873,7133.4233,7004.4500,7074.6297,7221.0117,7285.6400,7196.3454,7060.0998,7000.2100,7055.8079,7050.7147,6968.5600,6977.9993,7123.1233,7156.1300,6821.5569,6825.7529,7181.6300,7166.3476,6861.4286,6570.2000,6525.2873,6635.1340,6733.9600,6736.6727,6836.4577,6915.4200,6695.5355,6741.7615,6951.3300,6663.8261,6484.8337,6572.1200,6491.2297,6516.0687,6678.0900,6683.0353,6637.5483,6561.0500,6359.9487,6248.9115,6333.0300,6511.7854,6622.1230,6598.9100,6497.8796,6413.5184,6476.4400,6708.6316,6615.6516,6227.2300,6080.7418,6136.3433,6351.3300,6570.8076,5681.9866,4273.0400,4165.2166,4392.5376,4379.8900,4500.9237,4506.8239,4402.7600,4486.1276,4545.6704,4456.5800,4307.1940,4168.1273,4164.0200,4375.0363,4477.7804,4451.3000,4538.8514,4446.8478,4251.0300,4344.9672,4386.8448,4419.0900,4717.9588,4271.4087,3355.7500,3334.3173,3487.6211,3376.8700,3308.2583,3294.7889,3347.7700,3501.1796,3567.9915,3549.3400,3612.9860,3626.9375,3630.2100
2025/1/8,3804.6827,3915.2093,3757.0300,3396.6361,3403.0377,3718.9000,3728.6648,3584.7120,3616.2700,3933.9484,3910.8265,3723.4800,4105.2950,4125.7674,3777.9800,4007.0946,4197.4587,4068.1700,4007.8588,4117.8482,4277.0100,4304.9779,4346.1868,4440.6400,4449.7695,4281.5984,4132.8500,4294.5796,4356.1163,4204.4000,4129.2809,4128.7636,4140.1900,4233.7361,4894.6373,5661.6100,5525.7329,5435.0745,5636.7500,5466.1072,5388.6925,5490.3000,5384.7079,5467.9868,5618.6200,5418.2049,6059.7944,7251.3100,7400.2529,7257.1228,7292.3200,7202.4795,7129.2896,7184.8500,7285.1287,7179.8326,6940.0900,6904.0134,7029.6254,7114.5700,7008.0275,6995.0177,7109.6500,7099.8083,7010.8250,6970.2500,7044.1227,7045.3819,6917.3500,6804.3091,6865.2950,6936.1000,6697.0958,6490.3649,6467.1000,6475.8735,6586.0304,6737.4100,6758.8124,6781.0771,6821.0900,6742.7939,6566.3106,6394.0000,6341.2366,6410.1263,6551.8800,6684.3446,6686.7793,6573.8500,6472.4987,6380.5095,6284.0000,6232.5343,6418.7974,6574.8900,6224.4112,6011.5509,6186.1400,6349.2478,6248.0105,6157.6300,6516.7242,6531.4030,6234.9200,6305.2396,5526.2193,4229.8100,4131.0846,4381.1254,4380.8100,4373.0028,4322.2089,4256.1600,4294.5256,4355.3967,4352.0300,4299.4248,4414.1404,4578.3400,4446.6377,4292.0769,4354.3800,4593.9525,4643.6622,4537.2200,4607.0591,4489.0919,4346.3600,4630.6904,4197.8890,3203.3000,3041.4847,3256.6951,3322.5200,3223.7681,3323.4535,3528.2700,3413.8966,3394.1058,3568.4500,3616.2412,3645.4482,3663.8400
2025/1/9,3561.7974,3597.1481,3763.7900,3801.0687,3853.2165,3954.8300,3977.0073,3989.5760,3967.7200,3841.7389,3926.0375,4107.0100,3968.5600,3957.6482,4069.9900,3881.3239,3942.5588,4235.2800,4166.6880,4105.8207,4155.5900,4037.1717,3994.0237,4106.0600,4179.4112,4129.5527,4024.5500,4022.1068,4146.3482,4288.9600,4319.6185,4392.0786,4306.7200,3861.9598,4453.3060,5675.0300,5645.5762,5351.5585,5400.1100,5389.1944,5359.3817,5389.0800,5470.7803,5588.6296,5607.5400,5527.2493,6284.1769,7344.9900,7179.2989,7025.2069,7372.0500,7450.7115,7297.9313,7194.1100,7309.0706,7286.8063,7119.7400,7148.5628,7195.0881,7145.1100,7085.0373,7101.9361,7146.7500,7095.7463,7056.9146,7061.7700,7043.4576,7078.6784,7134.0900,7074.9057,6946.1843,6746.8100,6472.5949,6454.1594,6562.4400,6390.6564,6554.0168,6910.8200,6681.1908,6565.7411,6727.8300,6635.2844,6624.6153,6726.1900,6594.9169,6501.7937,6520.3300,6453.5580,6443.8129,6533.9800,6584.5684,6487.6530,6333.1300,6332.5243,6431.4264,6484.0200,6395.5528,6355.4761,6363.1200,6253.3206,6234.9823,6302.8800,6243.9493,6244.9228,6347.3900,6263.3001,5430.2066,4360.7200,4249.5681,4480.4458,4522.2200,4430.3752,4395.3295,4415.3300,4347.1526,4351.3328,4444.3200,4465.4924,4433.6050,4366.6900,4275.7082,4322.8484,4423.5900,4349.1072,4414.8701,4651.0700,4721.3895,4536.7603,4423.6800,4689.0953,4237.7690,3266.5900,3131.2489,3267.3904,3312.8200,3508.9328,3712.1107,3713.2200,3467.9974,3416.9241,3643.3900,3747.2369,3335.7145,2709.7800
2025/1/10,2591.3421,2655.4633,2666.5800,2702.2194,2667.9703,2655.0300,2846.3251,2884.3771,2793.0300,2946.2661,3055.7465,2958.5800,2815.3216,2878.0005,3068.1700,3067.9847,3000.0404,3048.6200,3249.9781,3272.9441,3050.1300,2868.8904,2996.9931,3277.1700,3269.9673,3076.3922,3033.9100,3370.8589,3521.7681,3399.0800,3440.6476,3484.8412,3408.1400,3300.2800,3314.3249,3434.8400,3496.2727,3463.6694,3389.9400,3374.3520,3485.5931,3712.1100,3959.8789,4096.6651,4064.0100,3917.0843,3828.5147,3842.0800,3876.3829,3972.4228,4064.2700,4050.1014,4222.1561,4531.5500,4616.5386,4620.4304,4631.4600,4586.4820,4557.2320,4552.5200,4515.6265,4516.0205,4508.7700,4375.2893,4282.9100,4299.2800,4324.5521,4284.1287,4205.2300,4178.8684,4177.3769,4155.5500,4109.6831,4141.0350,4185.9200,4098.0156,4145.6389,4271.1600,4125.8530,3918.2900,3884.1300,4033.3519,3966.1660,3750.9300,3854.5093,4063.6940,4059.7900,3763.2220,3733.0981,3899.6100,3696.9327,3689.4859,3892.8800,3754.8644,3778.6468,3985.0900,3834.6131,3562.9799,3502.5100,3685.7211,3413.9516,2846.6000,2844.5204,2939.2439,2856.1800,2819.4836,2890.1801,2910.3200,2691.8260,2596.4438,2697.4700,2724.2314,2737.7689,2804.8500,2901.2248,2967.6582,2970.5400,2908.1659,2777.6254,2690.3000,2772.5136,2766.8152,2689.4100,2800.7801,2865.7640,2764.6800,2654.0319,2802.6285,3082.1700,3073.3766,2878.4892,2630.2200,2391.5103,2352.9166,2476.2300,2516.6688,2456.3222,2470.8600,2710.6018,2714.4690,2457.3000,2384.4493,2463.4468,2560.2300
